Date,M,V,P,Mom
2002-10,-0.0663,-0.0537,-0.047599999999999996,-0.0362
2002-11,0.0315,0.0158,0.050300000000000004,0.041299999999999996
2002-12,-0.0231,-0.0212,-0.0316,-0.0044
2003-01,-0.0331,-0.032400000000000005,-0.0292,-0.042199999999999994
2003-02,0.0155,0.039900000000000005,0.022400000000000003,0.030600000000000002
2003-03,-0.028300000000000002,-0.0176,-0.0248,-0.0218
2003-04,0.0119,0.018600000000000002,0.0366,0.0449
2003-05,0.0462,0.0253,0.0373,0.0137
2003-06,0.0722,0.1012,0.0669,0.06269999999999999
2003-07,0.0354,0.0409,0.0248,0.0184
2003-08,0.0986,0.1308,0.07519999999999999,0.0883
2003-09,0.0756,0.0817,0.0601,0.0758
2003-10,0.0423,0.0649,0.012,0.04650000000000001
2003-11,-0.038,-0.0483,-0.030299999999999997,-0.0862
2003-12,0.06549999999999999,0.0886,0.0533,0.0819
2004-01,0.020499999999999997,0.0123,0.015300000000000001,0.016200000000000003
2004-02,-0.0002000000000000001,0.008,-0.0005,-0.0109
2004-03,0.1512,0.1895,0.122,0.2284
2004-04,-0.0446,-0.0528,-0.049100000000000005,-0.041299999999999996
2004-05,-0.0329,-0.0382,-0.028399999999999998,-0.0588
2004-06,0.0547,0.0557,0.0513,0.051399999999999994
2004-07,-0.0668,-0.051399999999999994,-0.061200000000000004,-0.1045
2004-08,0.011,0.0116,0.015600000000000001,0.0414
2004-09,-0.0307,-0.0147,-0.0298,-0.0535
2004-10,0.0249,0.0245,0.0187,0.0184
2004-11,0.0396,0.043899999999999995,0.024700000000000003,0.0322
2004-12,0.0519,0.0584,0.0398,0.059000000000000004
2005-01,-0.0104,0.0001,-0.0166,0.006999999999999999
2005-02,0.0187,0.0226,0.022099999999999998,-0.0011
2005-03,-0.013000000000000001,0.0070999999999999995,-0.0171,-0.011699999999999999
2005-04,-0.0196,-0.011000000000000001,-0.0263,-0.0074
2005-05,-0.0237,-0.02,-0.0233,-0.023700000000000002
2005-06,0.009600000000000001,0.0172,0.009899999999999999,0.022099999999999998
2005-07,0.009,0.0075,0.0103,0.026000000000000002
2005-08,0.0697,0.053,0.0709,0.0825
2005-09,0.0822,0.0736,0.08900000000000001,0.1002
2005-10,-0.0007999999999999995,0.0226,-0.0163,0.0226
2005-11,0.032400000000000005,-0.0037,0.03,0.0253
2005-12,0.09769999999999998,0.052300000000000006,0.09050000000000001,0.1165
2006-01,0.038900000000000004,0.0436,0.031400000000000004,0.0216
2006-02,-0.0224,-0.0026,-0.0143,-0.044800000000000006
2006-03,0.030399999999999996,0.0197,0.0192,0.0368
2006-04,0.024499999999999997,0.0276,0.0315,0.0062
2006-05,-0.06970000000000001,-0.0535,-0.054400000000000004,-0.0968
2006-06,-0.0137,-0.0127,-0.0127,-0.0062
2006-07,-0.018000000000000002,-0.004699999999999999,-0.0155,-0.0134
2006-08,0.0173,0.006500000000000001,0.0191,0.0098
2006-09,-0.0166,-0.0196,-0.0161,-0.0161
2006-10,0.0166,0.0013,0.0147,0.0167
2006-11,-0.0003000000000000008,0.0034999999999999996,0.006500000000000001,0.0036
2006-12,0.0182,0.0048,0.020499999999999997,0.047599999999999996
2007-01,0.008400000000000001,0.0115,0.009000000000000001,0.0003
2007-02,0.0384,0.0385,0.0463,0.0378
2007-03,-0.012700000000000001,-0.0073,-0.013000000000000001,-0.0106
2007-04,-0.0231,-0.020099999999999996,-0.0271,-0.008
2007-05,0.0078,-0.0012,0.0067,0.0021
2007-06,0.0007999999999999999,-0.0148,-0.0086,0.0062
2007-07,-0.00019999999999999966,-0.0126,-0.0158,0.013300000000000001
2007-08,-0.0338,-0.0282,-0.0177,-0.037000000000000005
2007-09,0.0173,0.0141,0.0101,0.0555
2007-10,0.0039000000000000003,-0.0068000000000000005,-0.009300000000000001,-0.0115
2007-11,-0.0195,-0.0292,-0.009000000000000001,-0.0546
2007-12,-0.037200000000000004,-0.0278,-0.0438,-0.0379
2008-01,-0.046900000000000004,-0.0151,-0.049100000000000005,-0.0799
2008-02,0.0114,0.0012,0.0021,0.0278
2008-03,-0.0354,-0.028399999999999998,-0.031,-0.013500000000000002
2008-04,0.064,0.0533,0.0639,0.024300000000000002
2008-05,0.022099999999999998,0.025,0.030600000000000002,0.0059
2008-06,-0.06440000000000001,-0.0473,-0.0649,-0.04019999999999999
2008-07,-0.0297,-0.0165,-0.03,-0.0412
2008-08,-0.0423,-0.028999999999999998,-0.0281,-0.0191
2008-09,-0.1035,-0.0675,-0.1283,-0.1057
2008-10,-0.13470000000000001,-0.1281,-0.1091,-0.08990000000000001
2008-11,0.0007999999999999999,0.0332,-0.0029,0.0555
2008-12,0.0857,0.0925,0.08789999999999999,0.10980000000000001
2009-01,-0.065,-0.0757,-0.0666,-0.07730000000000001
2009-02,-0.1192,-0.1382,-0.1048,-0.1325
2009-03,0.013200000000000002,0.0339,-0.011399999999999999,-0.062400000000000004
2009-04,0.0806,0.0602,0.0894,0.0074
2009-05,0.10890000000000001,0.1016,0.10339999999999999,0.0746
2009-06,0.0286,0.036699999999999997,0.02,0.026699999999999998
2009-07,0.0407,0.04769999999999999,0.0584,0.0116
2009-08,0.034100000000000005,0.0209,0.027200000000000002,0.0302
2009-09,-0.0083,-0.0354,-0.0011,0.0052
2009-10,-0.0229,-0.0087,-0.013300000000000001,-0.027000000000000003
2009-11,-0.02,-0.0527,-0.0105,-0.042300000000000004
2009-12,0.0023,0.058899999999999994,0.0149,0.0575
2010-01,0.023399999999999997,0.030299999999999997,0.0087,-0.008100000000000001
2010-02,0.0076,-0.0053,0.0069,-0.0019
2010-03,0.048400000000000006,0.0827,0.0504,0.0633
2010-04,0.0054,0.015300000000000001,-0.0025,-0.0039000000000000003
2010-05,-0.07919999999999999,-0.10529999999999999,-0.0761,-0.0929
2010-06,-0.0063,-0.0345,-0.0059,-0.0231
2010-07,0.0295,0.027000000000000003,0.023700000000000002,0.0481
