Date,M,V,P,Mom
1999-02,-0.022500000000000003,-0.02405,0.007049999999999997,-0.0018499999999999992
1999-03,0.1404,0.16725,0.15355,0.1336
1999-04,0.0504,0.1024,0.08015,0.07125
1999-05,-0.049800000000000004,-0.05985,-0.0431,-0.0651
1999-06,0.1087,0.13735,0.1922,0.19995
1999-07,0.10319999999999999,0.08635,0.0889,0.12015
1999-08,0.0319,0.05425000000000001,0.0469,0.08505000000000001
1999-09,0.0721,0.055,0.0678,0.0943
1999-10,0.066,0.018750000000000003,0.045149999999999996,0.05815
1999-11,0.07600000000000001,-0.04475,0.060500000000000005,0.1139
1999-12,0.0405,-0.0751,-0.00715,0.018049999999999997
2000-01,-0.0495,0.0024,-0.03745,-0.05745
2000-02,-0.0129,-0.05895,0.00745,0.0588
2000-03,0.0657,0.11574999999999999,0.07350000000000001,0.0022000000000000006
2000-04,-0.08629999999999999,-0.0907,-0.09225,-0.12160000000000001
2000-05,-0.0705,0.01495,-0.054400000000000004,-0.0935
2000-06,0.0632,0.11044999999999999,0.07835,0.0521
2000-07,-0.118,-0.10195,-0.11975,-0.15765
2000-08,0.06960000000000001,0.058550000000000005,0.05005,0.13295
2000-09,-0.0431,-0.0143,-0.04945,-0.0566
2000-10,-0.0701,-0.05185,-0.0956,-0.10590000000000001
2000-11,-0.025199999999999997,0.01485,-0.01175,-0.01725
2000-12,-0.0939,-0.055749999999999994,-0.1056,-0.0968
2001-01,-0.0025000000000000005,-0.0221,0.01005,-0.029200000000000004
2001-02,-0.0514,0.007899999999999999,-0.0215,-0.0143
2001-03,-0.037899999999999996,-0.0313,-0.029650000000000003,-0.031100000000000003
2001-04,0.0909,0.1235,0.0989,0.1142
2001-05,0.0019000000000000002,0.0136,0.01435,0.0184
2001-06,-0.05059999999999999,-0.01,-0.05235,-0.00645
2001-07,-0.08629999999999999,-0.053,-0.08489999999999999,-0.05495
2001-08,-0.024,0.03445,-0.016949999999999996,0.0211
2001-09,-0.07410000000000001,-0.0766,-0.0742,-0.07435
2001-10,0.0102,0.0078,0.02665,0.01235
2001-11,-0.016300000000000002,-0.06265,-0.03905,-0.07105
2001-12,-0.0808,-0.09105,-0.1008,-0.07844999999999999
2002-01,-0.07680000000000001,-0.057199999999999994,-0.06309999999999999,-0.0702
2002-02,0.0521,0.072,0.04265,0.0432
2002-03,0.0576,0.02255,0.06775,0.015250000000000001
2002-04,0.0536,0.047799999999999995,0.05845,0.05865000000000001
2002-05,0.07239999999999999,0.1018,0.08535000000000001,0.059550000000000006
2002-06,-0.046599999999999996,-0.024749999999999998,-0.0372,-0.02015
2002-07,-0.0589,-0.026699999999999998,-0.0391,-0.035100000000000006
2002-08,-0.012799999999999999,-0.0143,-0.01965,-0.01795
2002-09,-0.04800000000000001,-0.0401,-0.0649,-0.05045
2002-10,-0.0663,-0.060399999999999995,-0.0668,-0.054849999999999996
2002-11,0.0315,-9.99999999999994e-05,0.006900000000000003,0.0133
2002-12,-0.0231,-0.0101,-0.019250000000000003,-0.0006000000000000001
2003-01,-0.0331,-0.012600000000000004,-0.00965,-0.010149999999999998
2003-02,0.0155,0.055850000000000004,0.030600000000000002,0.0413
2003-03,-0.028300000000000002,-0.00425,-0.0103,-0.00765
2003-04,0.0119,0.031100000000000003,0.0465,0.0449
2003-05,0.0462,0.04165,0.0547,0.0323
2003-06,0.0722,0.09405,0.08075,0.051449999999999996
2003-07,0.0354,0.02965,0.024149999999999998,0.0199
2003-08,0.0986,0.11365,0.08979999999999999,0.10075
2003-09,0.0756,0.0803,0.09095,0.08145000000000001
2003-10,0.0423,0.0556,0.059,0.06415
2003-11,-0.038,-0.05790000000000001,-0.0579,-0.08635000000000001
2003-12,0.06549999999999999,0.0751,0.05555,0.0695
2004-01,0.020499999999999997,0.0422,0.043149999999999994,0.05575
2004-02,-0.0002000000000000001,0.0076,-0.0039,-0.0126
2004-03,0.1512,0.20365,0.19075,0.24285
2004-04,-0.0446,-0.02975,0.0020499999999999997,0.0016500000000000022
2004-05,-0.0329,-0.044399999999999995,-0.0532,-0.07454999999999999
2004-06,0.0547,0.0769,0.09395,0.0846
2004-07,-0.0668,-0.0503,-0.07730000000000001,-0.09935
2004-08,0.011,0.013049999999999999,0.02,0.0313
2004-09,-0.0307,-0.019549999999999998,-0.038400000000000004,-0.0503
2004-10,0.0249,0.0269,0.0181,0.018349999999999998
2004-11,0.0396,0.03705,0.0244,0.02985
2004-12,0.0519,0.055150000000000005,0.0366,0.0528
2005-01,-0.0104,0.022600000000000002,0.020200000000000003,0.033100000000000004
2005-02,0.0187,0.0369,0.02565,0.0238
2005-03,-0.013000000000000001,0.013449999999999998,-0.00805,-0.0008499999999999992
2005-04,-0.0196,-0.004900000000000001,-0.00345,4.99999999999997e-05
2005-05,-0.0237,-0.0303,-0.027,-0.037450000000000004
2005-06,0.009600000000000001,0.0177,0.01805,0.0234
2005-07,0.009,0.0121,0.0155,0.0275
2005-08,0.0697,0.045450000000000004,0.05115,0.058550000000000005
2005-09,0.0822,0.057999999999999996,0.04750000000000001,0.06745
2005-10,-0.0007999999999999995,0.019549999999999998,0.00655,0.0284
2005-11,0.032400000000000005,0.011,0.02325,0.0358
2005-12,0.09769999999999998,0.08165,0.11350000000000002,0.1343
2006-01,0.038900000000000004,0.0453,0.032,0.0303
2006-02,-0.0224,-0.028399999999999998,-0.04195,-0.06105000000000001
2006-03,0.030399999999999996,0.02395,0.0232,0.034699999999999995
2006-04,0.024499999999999997,0.0214,0.02075,0.01
2006-05,-0.06970000000000001,-0.06375,-0.07665,-0.09820000000000001
2006-06,-0.0137,-0.02495,-0.0211,-0.01925
2006-07,-0.018000000000000002,-0.024299999999999995,-0.051199999999999996,-0.044399999999999995
2006-08,0.0173,0.00855,0.0271,0.016550000000000002
2006-09,-0.0166,-0.02085,-0.02495,-0.0208
2006-10,0.0166,-0.0033000000000000004,0.0038,0.0059
2006-11,-0.0003000000000000008,-0.0033,-0.00945,-0.0049
2006-12,0.0182,0.00425,0.011999999999999999,0.025949999999999997
2007-01,0.008400000000000001,0.011699999999999999,0.0087,0.00605
2007-02,0.0384,0.0388,0.03465,0.0332
2007-03,-0.012700000000000001,-0.0021000000000000003,-0.01925,-0.00545
2007-04,-0.0231,-0.0194,-0.0359,-0.00345
2007-05,0.0078,-0.0104,-0.0025499999999999997,-0.00075
2007-06,0.0007999999999999999,0.0038499999999999993,0.01195,0.023549999999999998
2007-07,-0.00019999999999999966,0.00020000000000000052,-0.01355,0.0211
2007-08,-0.0338,-0.03825,-0.047,-0.04295
2007-09,0.0173,0.004399999999999999,-0.00010000000000000026,0.038900000000000004
2007-10,0.0039000000000000003,-0.00625,0.024199999999999996,-5.0000000000000565e-05
2007-11,-0.0195,-0.026299999999999997,-0.0267,-0.05115
2007-12,-0.037200000000000004,-0.033850000000000005,-0.05475000000000001,-0.05045
2008-01,-0.046900000000000004,-0.025750000000000002,-0.0604,-0.060700000000000004
2008-02,0.0114,0.0129,0.01625,0.03269999999999999
2008-03,-0.0354,-0.013699999999999999,-0.024300000000000002,-0.0068000000000000005
2008-04,0.064,0.02885,0.04235,0.0038000000000000013
2008-05,0.022099999999999998,0.033100000000000004,0.0405,0.007899999999999999
2008-06,-0.06440000000000001,-0.03845,-0.0633,-0.03675
2008-07,-0.0297,-0.0222,-0.0441,-0.03195
2008-08,-0.0423,-0.04479999999999999,-0.056100000000000004,-0.03515
2008-09,-0.1035,-0.07025,-0.12184999999999999,-0.08945
2008-10,-0.13470000000000001,-0.09085,-0.1198,-0.08135
2008-11,0.0007999999999999999,0.03295,0.02155,0.057999999999999996
2008-12,0.0857,0.09475,0.09225,0.09985000000000001
2009-01,-0.065,-0.0567,-0.05395,-0.053200000000000004
2009-02,-0.1192,-0.13145,-0.1256,-0.1266
2009-03,0.013200000000000002,0.02915,0.0142,-0.027350000000000003
2009-04,0.0806,0.0424,0.07135,0.0075
2009-05,0.10890000000000001,0.10744999999999999,0.12184999999999999,0.08135
2009-06,0.0286,0.0561,0.04985,0.037149999999999996
2009-07,0.0407,0.0348,0.05075,0.0199
2009-08,0.034100000000000005,0.0432,0.04995,0.04495
2009-09,-0.0083,-0.023100000000000002,0.0022999999999999995,0.0058
2009-10,-0.0229,-0.01915,-0.012150000000000001,-0.027950000000000003
2009-11,-0.02,-0.0596,-0.0387,-0.060250000000000005
2009-12,0.0023,0.029999999999999995,0.00385,0.02935
2010-01,0.023399999999999997,0.031549999999999995,0.0217,0.0144
2010-02,0.0076,0.00435,0.0063999999999999994,0.00085
2010-03,0.048400000000000006,0.07955,0.054150000000000004,0.06545
2010-04,0.0054,0.0379,0.027549999999999998,0.029650000000000003
2010-05,-0.07919999999999999,-0.09409999999999999,-0.069,-0.08710000000000001
2010-06,-0.0063,-0.018150000000000003,-0.00465,-0.01575
2010-07,0.0295,0.020050000000000002,0.019200000000000002,0.03475
2010-08,-0.026,-0.02945,-0.020699999999999996,-0.03535
2010-09,0.04700000000000001,0.03605,0.0352,0.05360000000000001
2010-10,0.0124,-0.007000000000000001,0.0024,-0.003599999999999999
2010-11,0.019799999999999998,0.024650000000000002,0.0187,0.02205
2010-12,0.0756,0.09889999999999999,0.07965,0.09595000000000001
2011-01,0.0041,0.0158,0.0081,0.0225
2011-02,0.048400000000000006,0.050699999999999995,0.051100000000000007,0.0529
