period,strategy,construction,start,end,months,cagr,market_cagr,excess_cagr,ann_mean,ann_vol,sharpe_rf,max_dd,market_max_dd,information_ratio,monthly_win_rate,hac_t_excess,bootstrap_lo,bootstrap_hi,bootstrap_prob_positive,cumulative,scenario,haircut_bps,break_even_monthly_bps
full,Profitability,big_only:base,1990-12,2026-06,427,0.035648592339368346,0.038198186403085144,-0.002549594063716798,0.05054613583138172,0.17677381080921833,0.14055176701702127,-0.6543198610209522,-0.5809621481292239,-0.06382158232773445,0.48711943793911006,-0.3864094234419093,-0.01845822014051523,0.012553911007025756,0.3444,2.4778318765228415,base,20,-0.4130118623477813
full,Profitability,big_only:double,1990-12,2026-06,427,0.03361240532701548,0.038198186403085144,-0.0045857810760696616,0.04857892271662763,0.17679983319910156,0.12942188106033273,-0.656588065238964,-0.5809621481292239,-0.10468276432393689,0.48009367681498827,-0.633886450104231,-0.020464707259953165,0.01062070257611241,0.2614,2.2426142674925242,double,40,-0.4130118623477813
full,Momentum,big_only:gross,1990-12,2026-06,427,0.048271897870518554,0.038198186403085144,0.01007371146743341,0.06597470725995316,0.19483750890457951,0.20667838084807166,-0.6653763016940997,-0.5809621481292239,0.1428411701126515,0.5269320843091335,0.7374938050218364,-0.015521803278688524,0.04210271662763463,0.8056,4.3521854285816834,gross,0,8.062804174401826
full,Momentum,big_only:base,1990-12,2026-06,427,0.023446611365544268,0.038198186403085144,-0.014751575037540876,0.041974707259953156,0.19483750890457951,0.08363666788588744,-0.690004226349059,-0.5809621481292239,-0.1345897129353459,0.47540983606557374,-0.694891251809295,-0.03952180327868854,0.018102716627634623,0.2006,1.2811460710054514,base,20,8.062804174401826
full,Momentum,big_only:double,1990-12,2026-06,427,-0.0008388350284843638,0.038198186403085144,-0.03903702143156951,0.017974707259953156,0.1948375089045795,-0.039405045076296746,-0.7367637378020131,-0.5809621481292239,-0.41202059598334323,0.42857142857142855,-2.127276308640426,-0.06352180327868853,-0.005897283372365386,0.0094,-0.029419635454497106,double,40,8.062804174401826
full,Value+Momentum,big_only:gross,1990-12,2026-06,427,0.058966129606077056,0.038198186403085144,0.020767943202991912,0.07406416861826697,0.18375969979709575,0.2630219241462001,-0.5064679257211243,-0.5809621481292239,0.39244125816195924,0.531615925058548,2.1013322127928453,0.0032978571428571466,0.03799675644028102,0.9908,6.680455540593188,gross,0,16.547841531972146
full,Value+Momentum,big_only:base,1990-12,2026-06,427,0.04534163242868394,0.038198186403085144,0.007143446025598799,0.06108056206088992,0.18377800755788337,0.19245023163300548,-0.5263111822018965,-0.5809621481292239,0.14317445350788444,0.4847775175644028,0.7668737338643382,-0.009686451990632327,0.025069988290398113,0.7918,3.844764044493192,base,20,16.547841531972146
full,Value+Momentum,big_only:double,1990-12,2026-06,427,0.03187700890699108,0.038198186403085144,-0.006321177496094066,0.04809695550351287,0.18380123791712447,0.12188934407334806,-0.5453790418193109,-0.5809621481292239,-0.10583622492444525,0.4496487119437939,-0.5671809889981076,-0.022669707259953174,0.012087822014051479,0.2702,2.0544104250251576,double,40,16.547841531972146
full,Value+Profitability,big_only:gross,1990-12,2026-06,427,0.05291541822893264,0.038198186403085144,0.014717231825847499,0.06733348946135832,0.17834423310943404,0.23327730448061637,-0.5035736705087219,-0.5809621481292239,0.35058782415710865,0.5433255269320844,2.0609922264546947,0.001503442622950819,0.026203665105386412,0.9856,5.263756274100472,gross,0,11.758553267211726
full,Value+Profitability,big_only:base,1990-12,2026-06,427,0.05084790723021748,0.038198186403085144,0.012649720827132338,0.06536627634660422,0.17837301528274987,0.22222923877729003,-0.5067887691298376,-0.5809621481292239,0.30014429856062014,0.5362997658079626,1.7636223864515685,-0.0004774355971896904,0.024219836065573756,0.9698,4.840636105800491,base,20,11.758553267211726
full,Value+Profitability,big_only:double,1990-12,2026-06,427,0.04878031977478092,0.038198186403085144,0.010582133371695779,0.06339906323185013,0.17842208523809258,0.211160806292373,-0.5099899618940675,-0.5809621481292239,0.24916692635834004,0.531615925058548,1.4653073057815555,-0.0024888056206088987,0.02222160421545667,0.9428,4.445333711629831,double,40,11.758553267211726
full,Profitability+Momentum,big_only:gross,1990-12,2026-06,427,0.04392491248911856,0.038198186403085144,0.005726726086033418,0.059244028103044494,0.180828567586252,0.18545711521044056,-0.6557290385208288,-0.5809621481292239,0.1027548699485835,0.5128805620608899,0.522195921403545,-0.012926030444964876,0.02607548009367681,0.707,3.6165183539841,gross,0,4.593279721775076
full,Profitability+Momentum,big_only:base,1990-12,2026-06,427,0.03048034282996337,0.038198186403085144,-0.007717843573121774,0.046260421545667445,0.18083568813568376,0.1137528754777022,-0.669708112581261,-0.5809621481292239,-0.1344108771476791,0.47540983606557374,-0.6830716908588688,-0.02591012880562062,0.013091873536299753,0.2136,1.9106930457521667,base,20,4.593279721775076
full,Profitability+Momentum,big_only:double,1990-12,2026-06,427,0.017193702524223475,0.038198186403085144,-0.02100448387886167,0.03327681498829039,0.18084781324973803,0.04205314981450043,-0.683585429936409,-0.5809621481292239,-0.3716025021764355,0.4379391100702576,-1.888855485635302,-0.03889443793911008,0.00011111241217796906,0.026,0.8342013158354571,double,40,4.593279721775076
full,Value+Profitability+Momentum,big_only:gross,1990-12,2026-06,427,0.05243954200594758,0.038198186403085144,0.014241355602862438,0.06688056206088994,0.1781468069915601,0.23102139750151415,-0.5582871576371109,-0.5809621481292239,0.35537014347212764,0.5339578454332553,1.8402769289568432,0.0007125761124121801,0.02679744730679156,0.9824,5.163804194409469,gross,0,11.380674491286037
full,Value+Profitability+Momentum,big_only:base,1990-12,2026-06,427,0.04270754612598515,0.038198186403085144,0.004509359722900008,0.057569086651053855,0.1781648156840172,0.17881584044403717,-0.5711753167233937,-0.5809621481292239,0.10584815918236892,0.49882903981264637,0.5482615010285398,-0.008608032786885251,0.017460140515222468,0.7162,3.428767495891476,base,20,11.380674491286037
full,Value+Profitability+Momentum,big_only:double,1990-12,2026-06,427,0.03305641934450554,0.038198186403085144,-0.005141767058579605,0.04825761124121778,0.1781918527802385,0.12661445159406423,-0.5836999004685821,-0.5809621481292239,-0.1433909293231371,0.4519906323185012,-0.7434557508521226,-0.01792262295081968,0.008174426229508185,0.2004,2.1811229084847,double,40,11.380674491286037
pre_2015,Value,size_balanced:gross,1990-12,2015-06,295,0.048230285592916866,0.019061595111627305,0.02916869048128956,0.06897152542372881,0.2111960249451006,0.1936568306025076,-0.6550338491938663,-0.5809621481292239,0.38548662427357316,0.5525423728813559,1.5549784805703064,-0.00626710169491526,0.07045367796610168,0.948,2.183420103386222,gross,0,23.54015460078726
pre_2015,Value,size_balanced:base,1990-12,2015-06,295,0.046161788030908646,0.019061595111627305,0.02710019291928134,0.06701898305084746,0.21133551092631106,0.1843251509684093,-0.6585807542952438,-0.5809621481292239,0.3608471912852997,0.5457627118644067,1.457330101929215,-0.008164423728813559,0.06847789830508473,0.9376,2.032530211367177,base,20,23.54015460078726
