Date,HML,HML_rec,RMW,RMW_rec,Mom,Mom_rec
1993-10,0.0019,0.0018500000000000044,0.0089,0.008850000000000004,0.0092,0.009150000000000005
1993-11,-0.0037,-0.003699999999999981,0.0464,0.04645000000000002,-0.0342,-0.03420000000000001
1993-12,0.0281,0.028100000000000003,-0.0218,-0.021750000000000002,0.026000000000000002,0.026049999999999997
1994-01,0.0359,0.03584999999999999,-0.043,-0.04304999999999998,0.0019,0.0019499999999999518
1994-02,0.0246,0.024650000000000005,0.0001,5.000000000000837e-05,0.027999999999999997,0.028050000000000005
1994-03,0.020099999999999996,0.0201,-0.024399999999999998,-0.02435,-0.0146,-0.0146
1994-04,0.0,-6.938893903907228e-18,-0.0149,-0.014850000000000002,-0.0095,-0.009500000000000001
1994-05,0.0278,0.027749999999999997,-0.0282,-0.02815,-0.015,-0.014950000000000001
1994-06,0.0385,0.03845,-0.0111,-0.011099999999999999,0.0113,0.011349999999999999
1994-07,-0.0059,-0.005950000000000004,0.0134,0.013399999999999999,-0.011899999999999999,-0.011899999999999994
1994-08,0.006,0.006050000000000003,0.009399999999999999,0.009500000000000001,0.0024,0.0023999999999999994
1994-09,0.0059,0.005949999999999997,0.014499999999999999,0.01444999999999999,0.0063,0.0063
1994-10,0.0095,0.009500000000000001,-0.0275,-0.02745,0.0291,0.029049999999999996
1994-11,-0.0009,-0.0009499999999999925,0.0073,0.007299999999999987,-0.0063,-0.0063499999999999945
1994-12,-0.0040999999999999995,-0.004100000000000003,-0.018799999999999997,-0.018750000000000006,0.0006,0.0006000000000000033
1995-01,-0.022099999999999998,-0.02205,0.0252,0.025249999999999995,-0.07150000000000001,-0.07150000000000001
1995-02,0.0008,0.0007500000000000007,-0.0009,-0.0009500000000000064,0.028399999999999998,0.028399999999999995
1995-03,0.0123,0.01235,0.020499999999999997,0.020449999999999996,-0.0127,-0.012650000000000022
1995-04,-0.0183,-0.0183,-0.030299999999999997,-0.030299999999999997,0.0129,0.012899999999999998
