Date,M,V,P,VP,BV,BP,BVP,Mom,BMom,VM,VPM,VPM_intersection,BVM,BVPM,BVPM_intersection
2000-05,-0.0705,0.0291875,0.004262500000000002,0.0632,0.030325,-0.023925000000000002,0.1079,-0.0935,-0.1521,-0.03215625,-0.020016666666666665,-0.015149999999999997,-0.060887500000000004,-0.048566666666666675,-0.02210000000000001
2000-06,0.0632,0.12491249999999998,0.10291250000000002,0.129,0.12717499999999998,0.08360000000000001,0.1274,0.0521,0.0432,0.08850625,0.09330833333333333,0.09055,0.0851875,0.08465833333333334,0.08530000000000001
2000-07,-0.118,-0.09915000000000002,-0.102575,-0.10835,-0.11327500000000001,-0.10905000000000001,-0.14880000000000002,-0.15765,-0.1381,-0.12840000000000001,-0.11979166666666667,-0.133,-0.1256875,-0.12014166666666666,-0.14345000000000002
2000-08,0.06960000000000001,0.0398625,0.04032499999999999,0.01,0.0438,0.02035,0.013600000000000001,0.13295,0.1175,0.08640625,0.07104583333333334,0.07147500000000001,0.08065,0.06054999999999999,0.06555
2000-09,-0.0431,-0.012412500000000002,-0.020437499999999997,0.023450000000000002,0.005525000000000002,-0.0002500000000000002,0.057800000000000004,-0.0566,-0.0451,-0.03450625,-0.02981666666666667,-0.016575,-0.0197875,-0.013275,0.0063500000000000015
2000-10,-0.0701,-0.04865,-0.05025,0.010750000000000003,-0.006249999999999999,-0.026424999999999997,0.10800000000000001,-0.10590000000000001,-0.0922,-0.07727500000000001,-0.06826666666666667,-0.047575000000000006,-0.049225000000000005,-0.041625,0.007900000000000004
2000-11,-0.025199999999999997,0.013224999999999997,0.001087499999999999,-0.013300000000000003,0.005350000000000002,-0.011425000000000001,-0.049800000000000004,-0.01725,-0.0454,-0.002012500000000002,-0.0009791666666666688,-0.015275000000000002,-0.020025,-0.017158333333333334,-0.0476
2000-12,-0.0939,-0.056425,-0.0671875,-0.05550000000000001,-0.05405,-0.07647500000000002,-0.07730000000000001,-0.0968,-0.0862,-0.0766125,-0.07347083333333333,-0.07615,-0.07012499999999999,-0.07224166666666666,-0.08175
2001-01,-0.0025000000000000005,-0.0122875,-0.0012875000000000004,0.01835,-0.01675,0.0016749999999999994,0.0451,-0.029200000000000004,-0.052300000000000006,-0.020743750000000002,-0.014258333333333336,-0.005425000000000001,-0.034525,-0.022458333333333334,-0.0036000000000000025
2001-02,-0.0514,0.0250625,0.0032125,0.042050000000000004,0.014475000000000002,-0.008499999999999997,0.038900000000000004,-0.0143,-0.022099999999999998,0.005381250000000001,0.004658333333333334,0.013875000000000002,-0.003812499999999998,-0.005374999999999998,0.008400000000000003
2001-03,-0.037899999999999996,-0.024200000000000003,-0.025925000000000004,-0.0218,-0.040225000000000004,-0.026350000000000002,-0.0183,-0.031100000000000003,-0.0383,-0.02765,-0.027075000000000002,-0.02645,-0.039262500000000006,-0.034958333333333334,-0.0283
2001-04,0.0909,0.14281249999999998,0.1106,0.12705,0.13435,0.1067,0.135,0.1142,0.1043,0.12850625,0.12253750000000001,0.120625,0.119325,0.11511666666666666,0.11965
2001-05,0.0019000000000000002,0.008237499999999998,0.018074999999999997,0.015299999999999998,0.0032000000000000006,-0.005974999999999999,-0.0116,0.0184,0.011000000000000001,0.013318749999999999,0.014904166666666665,0.016849999999999997,0.0071,0.002741666666666668,-0.00029999999999999905
2001-06,-0.05059999999999999,-0.004275,-0.0228125,0.01285,-0.017625000000000002,-0.02972500000000001,-0.0012,-0.00645,-0.0089,-0.0053625,-0.011179166666666665,0.0032,-0.0132625,-0.018750000000000003,-0.00505
2001-07,-0.08629999999999999,-0.058812500000000004,-0.0775875,-0.0797,-0.0589,-0.07805000000000001,-0.0872,-0.05495,-0.0432,-0.05688125,-0.06378333333333334,-0.067325,-0.05105,-0.06005000000000001,-0.06520000000000001
2001-08,-0.024,0.0489,0.005999999999999997,0.037899999999999996,0.040999999999999995,-0.015875,0.043,0.0211,-0.0031,0.035,0.025333333333333333,0.0295,0.018949999999999998,0.007341666666666666,0.01995
